,,,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071
,,,total,onerace,white,black,amind,asian,hawpac,other,tworace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:,Total:
,,,,Population of one race:,Population of one race:,Population of one race:,Population of one race:,Population of one race:,Population of one race:,Population of one race:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:,Two or More Races:
GEO.id,GEO.id2,GEO.display-label,,,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,,Population of two races:,Population of two races:,Population of two races:,Population of two races:,Population of two races:,Population of two races:,Population of two races:,Population of two races:,Population of two races:,Population of two races:,Population of two races:,Population of two races:,Population of two races:,Population of two races:,Population of two races:,Population of two races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of three races:,Population of four races:,Population of four races:,Population of four races:,Population of four races:,Population of four races:,Population of four races:,Population of four races:,Population of four races:,Population of four races:,Population of four races:,Population of four races:,Population of four races:,Population of four races:,Population of four races:,Population of four races:,Population of four races:,Population of five races:,Population of five races:,Population of five races:,Population of five races:,Population of five races:,Population of five races:,Population of five races:,Population of six races:,Population of six races:
Id,Id2,Geography,,,,,,,,,,,White; Black or African American,White; American Indian and Alaska Native,White; Asian,White; Native Hawaiian and Other Pacific Islander,White; Some Other Race,Black or African American; American Indian and Alaska Native,Black or African American; Asian,Black or African American; Native Hawaiian and Other Pacific Islander,Black or African American; Some Other Race,American Indian and Alaska Native; Asian,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,American Indian and Alaska Native; Some Other Race,Asian; Native Hawaiian and Other Pacific Islander,Asian; Some Other Race,Native Hawaiian and Other Pacific Islander; Some Other Race,,White; Black or African American; American Indian and Alaska Native,White; Black or African American; Asian,White; Black or African American; Native Hawaiian and Other Pacific Islander,White; Black or African American; Some Other Race,White; American Indian and Alaska Native; Asian,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,White; American Indian and Alaska Native; Some Other Race,White; Asian; Native Hawaiian and Other Pacific Islander,White; Asian; Some Other Race,White; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; American Indian and Alaska Native; Asian,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Black or African American; American Indian and Alaska Native; Some Other Race,Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Black or African American; Asian; Some Other Race,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,American Indian and Alaska Native; Asian; Some Other Race,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,White; Black or African American; American Indian and Alaska Native; Asian,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,White; Black or African American; American Indian and Alaska Native; Some Other Race,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,White; Black or African American; Asian; Some Other Race,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,White; American Indian and Alaska Native; Asian; Some Other Race,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Black or African American; American Indian and Alaska Native; Asian; Some Other Race,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
1000000US500070001001000,5.0007E+14,"Block 1000, Block Group 1, Census Tract 1, Chittenden County, Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070001001001,5.0007E+14,"Block 1001, Block Group 1, Census Tract 1, Chittenden County, Vermont",66,66,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070001001002,5.0007E+14,"Block 1002, Block Group 1, Census Tract 1, Chittenden County, Vermont",8,6,6,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070001001003,5.0007E+14,"Block 1003, Block Group 1, Census Tract 1, Chittenden County, Vermont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US500070001001004,5.0007E+14,"Block 1004, Block Group 1, Census Tract 1, Chittenden County, Vermont",36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
